tick,aep_active,aep_hyperactive,alpha_protein_gut,tau_protein_gut,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
55,24,26,236,241,128,118,0,0,24,31969,12265,50,0,300,0,0,0,0,0,0,0,0
56,24,26,235,239,130,122,0,0,24,33212,11495,50,0,300,0,0,0,0,0,0,0,0
57,24,26,232,239,136,122,0,0,24,33694,11081,50,0,300,0,0,0,0,0,0,0,0
58,24,26,231,239,138,122,0,0,24,33000,10888,50,0,300,0,0,0,0,0,0,0,0
59,24,26,229,238,142,124,0,0,25,31007,10305,50,0,300,0,0,0,0,0,0,0,0
60,24,26,228,237,144,126,0,0,25,31576,10180,50,0,300,0,0,0,0,0,0,0,0
61,24,26,228,237,144,126,0,0,26,29975,9207,50,0,300,0,0,0,0,0,0,0,0
62,24,26,228,234,144,132,0,0,26,30940,8718,50,0,300,0,0,0,0,0,0,0,0
63,24,26,228,234,144,132,0,0,27,31630,8446,50,0,300,0,0,0,0,0,0,0,0
64,24,26,228,234,144,132,0,0,27,30658,8648,50,0,300,0,0,0,0,0,0,0,0
65,24,26,223,234,154,132,0,0,27,29577,8346,50,0,300,0,0,0,0,0,0,0,0
66,24,26,222,233,156,134,0,0,27,25229,8311,50,0,300,0,0,0,0,0,0,0,0
67,24,26,221,232,154,136,1,0,27,26964,8589,50,0,300,0,0,0,0,0,0,0,0
68,24,26,221,230,154,140,1,0,27,27092,9047,50,0,300,0,0,0,0,0,0,0,0
69,24,26,220,226,156,148,1,0,28,26941,9065,50,0,300,0,0,0,0,0,0,0,0
70,24,26,219,225,158,150,1,0,28,25839,8985,50,0,300,0,0,0,0,0,0,0,0
